
SINGER)	(music lyrics)
TOM	Please, just talk to me. Please.

LAURA JANE	Don't talk to me.

LAURA JANE	I can't even look at you.

WINSTON	Excuse me. Is everything okay?

LAURA JANE	No, I need a car to the airport. I'm leaving.

WINSTON	What about your beautiful wedding?

LAURA JANE	It's not happening.

TYRONE	At this point, it's too late.

TYRONE	There is no cabs, no flights out.

LANCE	Winston, she's got to fly out tonight.

WINSTON	I'll get her a cab and the first flight out in the morning.

LANCE	It's a great idea.

LANCE	Tonight, you either stay with Georgia or you stay with myself, and buddy, your ticket’s been punched.

LANCE	Laura, come this way.

LANCE	Thank you, Winston.

WINSTON	You know, it would've been such a wonderful wedding.

SINGER	(music lyrics)

MANFRED	Morning, son.

TOM	Morning, Dad.

TOM	I don't really know what to do.

TOM	I thought it was what you and Mom have.

MANFRED	Well, your mom and I have... discovering new things, too.

MANFRED	We've been together a long time and the flame starts to die a little bit, you know, not like that seven-year itch kind of thing, but something a whole lot more.

MANFRED	You know, so you try something. You don't think you're gonna like it but you do.

MANFRED	So you try something else.

MANFRED	You know, every time I see you and Laura Jane together, I...

MANFRED	I just think, "Boy, don't ever lose that."

TOM	Do you think it's too late to fix this?

MANFRED	Well, son, in the end, nothing is too late.

TOM	Dad, what do I do?

MANFRED	I can't tell you that, son.

MANFRED	That's up to you to decide.

TOM	Worst fucking day ever.

TOM	Hey, man, can I get a couple, um, a couple shots, just... just line them up there and I'll take them.

JON JOHNSON	Tommy, you look ridiculous.

JON JOHNSON	So what, you fucked up?

JON JOHNSON	Now listen to me carefully.

JON JOHNSON	I have three words of advice for you, kid.

JON JOHNSON	Chase your dreams, fulfill your destiny, and go get a haircut. You look like a moron.

JON JOHNSON	Quit feeling sorry for yourself, sober up, take a shower and go get her.

JON JOHNSON	And use deodorant. I'm a hallucination, I can still smell you.

IRA	Mr. Tom, hurry up, man.

IRA	She's a runaway, man.

TOM	All right, let's go, let's go.

IRA	All right, Andy.

IRA	Rip these roads, man.

TOM	All right, let's go. How long until we get there?

IRA	Two hours, man.

TOM	Fuck.

WOMAN	He's cute.

WOMAN	He is.

ANNA	So wasted.

ANNA	I couldn't even take his shoes off.

ANNA	That's how loyal he is.

WOMAN	Oh. Who's Laura anyways?

ANNA	I don't know. I don't care. 

WOMAN	Oh, man, I just love him.

TOM	Oh, I need to throw up.

ANNA	It's a shame.

ANNA	He loved his fucking girlfriend.

WOMAN	Who's Laura?

GEORGIA	Oh, fuck.

TOM	Oh, Laura.

WOMAN	Who's that?

TOM	Thanks, guys.

IRA	All right, Tom.

IRA	Make sure you tell her that you love her and that she's the only woman in the world, and you take her to the romper room and you tie her up like a goat.

TOM	All right. Thanks. Yeah.

LAURA JANE	Hello?

GEORGIA	Laura?

LAURA JANE	Georgia?

GEORGIA	I have something to tell you.

GEORGIA	Laura, can you hear me?

LAURA JANE	I can't... I can't hear you.

GEORGIA	Laura, he didn't do it.

SINGER	(music lyrics)

TOM	I really...I really messed up and I can't stop thinking about you and I was... I was... I was running around the hotel looking for you and…

LAURA JANE	Stop. I know you would never do anything to hurt me.

TOM	This weekend has been... It's been crazy and with, you know, the family and...I can't imagine my life without you.

TOM	I just... I just had... had to tell you.

LAURA JANE	Can you just shut up and kiss me?

SINGER	(music lyrics)

IRA	Hey, uh, Mr. Manfred, sir.

IRA	Mr. Manfred, sir.

MANFRED	Oh, my God.

IRA	I'm sorry. This isn't a bad time, is it?

IRA	I was hoping I could maybe talk to you about that business proposal.

IRA	You have a few minutes to talk?

MANFRED	How much?

IRA	Uh, I'm sorry. I don't...

MANFRED	How much?

MANFRED	How much for you to leave me and my family alone for the rest of our lives?

IRA	Five hundred?

MANFRED	Half million dollars?

IRA	Oh, no, no. No, no, no.

IRA	Not a half million dollars, like, I was thinking five hundred dollars.

IRA	I... I... I already got , saved up so that would put me at , which should be a nice nest egg to open a little dry cleaner right here on the island.

MANFRED	Who do I make that out to?

IRA	Ira Goldstein, sir.

MANFRED	Good job.

IRA	Good doing business with you.

IRA	On second thought, would you maybe, uh, pay me in cash?

IRA	Check's totally fine.

IRA	Don't even worry about it.

IRA	Thanks, Mr. Manfred.

LANCE	Uh, first off, I've been down here a couple of days now,

LANCE	and I've gotten the chance to know both families and talk to a lot of people about Tom here, and I've heard what a charming, kind, smart fella he is.

LANCE	And I'm the luckiest guy in the world because he's gonna take care of my baby sister, which is great.

LANCE	And I wouldn't have it any other way. Thank you.

PAPA MCGURSKY	Great job, Tommy. I'm proud of you.

MANFRED	Well, we did it, didn't we folks?

PAPA MCGURSKY	Yes, sir.

MANFRED	Huh?

PAPA MCGURSKY	Yeah.

MANFRED	I don't think that any of us thought that we would end up here.

MANFRED	Two great, very different families.

MANFRED	Laura Jane, I am honored to call you my daughter.

MANFRED	If I... If I could just take one more second to say something

MANFRED	to my beautiful wife, Sherry.

MANFRED	For so many years I have been obsessed with my work.

MANFRED	But I've realized that the only thing that matters is you.

PAPA MCGURSKY	But the one thing I hope these kids learn is that it doesn't matter where you are or when it is.

PAPA MCGURSKY	But if you have the person you love standing next to you by your side, you're in the right place at the right time.

MAMA MCGURSKY	And if you have that, you will have something that will see you through a whole host of hard times, which include but are not limited to, the occasional dalliance, premature ejaculation, no ejaculation, hemorrhoids, that thing they do where they grind their teeth, insomnia, loose teeth, failing vision, halitosis.

PAPA MCGURSKY	Menopause.

LAURA JANE	I can't wait to spend the rest of my life with you.

PAPA MCGURSKY	Give it, boy. Give it. Go.

SINGER	(music lyrics)

LANCE	There's a... there's a...you got a dolphin...

LANCE	Hey. Hey. Look. Look to your left.

LANCE	To your left. No. I'm not waving to you.

LANCE	No.

DOLPHIN	Retreat.

DOLPHIN	We'll be back.

LOLA	I'm great.

LOLA	You saved my life.

LANCE	If you can believe it, I'm terrified of the water.

LANCE	At least I used to be.

LOLA	You're my hero.
	
LANCE	Not a hero.

LANCE	I'm just Lance.

LOLA	Lance, kiss me, you fool.

SINGER	(music lyrics)

SHERRY	The director is losing it in the background.

LANCE VO	Just because you don't know where you are doesn't mean you're lost, Lance.

LANCE VO	It sounds like something Poppy would say.

LANCE VO	I guess it all worked out for the best.

LANCE VO	That being said, where the hell am I?

IRA	We're about to have our sixth kid.

IRA	And Mr. Manfred, sir, we're gonna name that kid after you, and I don't care if it's a boy or a girl.

TYRONE	Take me.

MAMA MCGURSKY	But you see, that's an area I actually don't have a complaint about.

MAMA MCGURSKY	Papa, although he looks large and heavy…

MAMA MCGURSKY	is large and heavy.

MAN	I'd like to dedicate a song to all the girls that slept with Ricky.

TYRONE	Come back.

MAN	Yup. Ricky’s all up in ya.

MAN	Ricky is a ninja.

MAN	Ricky’s all up in ya. Ricky is a ninja.

MAN	Ricky’s all up in ya. And Ricky is a ninja. All up in Jamaica.

MAN	Ricky's all up in ya.
