INTERTITLE	England 1937
CHARLES	'The rest of the world needs bifocals.'

CECIL B DEMILLE	I love it.

CECIL B DEMILLE	Okay, reset. Make-up.

CECIL B DEMILLE	I wanna move in closer.

HENRY	You're a genius, Charles.

HENRY	Audiences are gonna devour the whole spiritualist angle.

CHARLES	Yes.

HENRY	It's just a shame Ruth isn't here to enjoy it.

HEDDA HOPPER	Mr Condomine. Hedda Hopper, Los Angeles Times.

CHARLES	Hello.

HEDDA HOPPER	How does it feel to be the talk of the town?

CHARLES	That's awfully sweet of you,

CHARLES	but I'm not sure anybody's really interested in the lowly writer.

HEDDA HOPPER	I have a hunch that my 35 million readers

HEDDA HOPPER	will be enthralled by the story of a serial plagiarist.

HENRY	Plagiarist?

CHARLES	I know you revel in gossip and scandal, Miss Hopper,

CHARLES	but that's a completely outrageous and unfounded accusation.

HEDDA HOPPER	There is nothing unfounded about the writ that Señor Morales is serving.

HEDDA HOPPER	Would you care to comment on the fact

HEDDA HOPPER	that your 15 Detective Frank Flowers whodunnits

HEDDA HOPPER	are based word for word

HEDDA HOPPER	on the Inspector Francisco Flores crime novels

HEDDA HOPPER	which are bestsellers across all of Mexico?

HEDDA HOPPER	Say cheese, Mr Condomine.

CHARLES	You.

ELVIRA	Don't look so shocked, Charles.

ELVIRA	You and I both know there's no such thing as an original story.

CHARLES	How could you?

CECIL B DEMILLE	Can't you just be quiet?

CECIL B DEMILLE	I'm trying to make a picture here.

CHARLES	You scheming little witch.

HEDDA HOPPER	So much for the famous British charm.

ELVIRA SINGS	I'll be loving you Always

ELVIRA	With a love that's true...

CHARLES	Stop it.

ELVIRA	Always...

CHARLES	Don't.

CHARLES	Stop it! No.

ELVIRA	Your first novel?

ELVIRA	Greta Garbo speaking my words?

CHARLES	Stop it.

ELVIRA	You and I both know there's no such thing as an original story.

RUTH	Promise you can't touch her.

ELVIRA	I'm a woman, Charles. We're used to not getting the credit we deserve.

RUTH	The only person that you love is yourself.

CHARLES	What the hell do you think you're doing? You could have killed me.

RUTH	I just did.

RUTH	Nobody will ever forget you, Charles.

ELVIRA	They'll remember what a fraud you were. Always.

RUTH	Farewell, Mr Peasbody!

CHARLES	You can't just leave me here.

NEWSPAPER SELLER	Read all about it.

NEWSPAPER SELLER	Read all about it.

NEWSPAPER SELLER	Murdered British crime writerrevealed to be serial plagiarist.

NARRATIVE TITLE	HOLLYWOOD DOWNFALL FOR PLAGIARIST AUTHOR

NARRATIVE TITLE	POPULAR AUTHOR DEAD

DR BRADMAN	Poor Charles. How dreadful.

DR BRADMAN	It's like a plot from one of his novels.

MRS BRADMAN	Or perhaps from someone else's.

MADAME ARCATI	Is anybody there?

MADAME ARCATI	Is anybody there?One knock for yes, two knocks for no.

CHARLES	Yes, I'm here. Whatever happenedto leaving someone to rest in peace?

MADAME ARCATI	Mr Condomine, I simply wanted to apologise

MADAME ARCATI	for any part I may have played in your untimely demise.

CHARLES	You weren't behind the wheel, Madame Arcati.

MADAME ARCATI	No, but I fear I may have put fuel in the tank.

CHARLES	Well, c'est la vie.

MADAME ARCATI	I also wanted to express my gratitude.

MADAME ARCATI	Without you, I would still be searching.

CHARLES	Well, at least one of us is enjoying a happy ending.

MADAME ARCATI	May I be so bold as to ask what it's like on the other side?

RUTH	Charles?

ELVIRA	Charles?

CHARLES	Complicated.

MAIN TITLE	BLITHE SPIRIT
