FEMALE VOICE #1 TO UNIDENTIFIED CALLER #1	How may I help you?
AXI EXEC	So original, and oof! Compelling. 

AXI EXEC	So you guys might want to buckle up here...

AXI EXEC	because we're so excited. We want to do an initial run of...

AXI EXEC	100,000 copies...

AXI EXEC	and we’re going to up your advance to $350,000...

KELLY	That’s dollars. Fuck, yeah!

AXI EXEC	Also, multiple studios are already calling on the film rights.

AXI EXEC	You’re going to make some serious cash money on this.

KELLY	Fuck, yeah! That is what gets me hard in the fucking morning!

AXI EXEC	Whoo! Boners! Everyone has boners. 

KELLY	Oh, my God! I represent so many shitty writers now.

AXI EXEC	Yeah! Whoo!

KELLY	I needed this win!

KELLY	Oh, I’m so unhappy in my marriage. This is the only thing I am living for. 

KELLY	Aren’t you fucking pumped?! Aren’t you excited?! 

KELLY	She’s excited.

KELLY	She is, we are...

SARA	It’s truly... 

KELLY	...truly needing more money.

SARA	...unbelievable.

KELLY	Unbelievable.

AXI EXEC	You guys, if that got your cocks racing, get your seatbelts...

AXI EXEC	clickity-clack them back in, because guess what?

AXI EXEC	We’ve mocked up some covers to show. If you look on the...

AXI EXEC	Where are they? You’ve got one job.

AXI EXEC	One thing that you do.There it is. Wow. 

AXI EXEC	Slowly but surely.

AXI EXEC	We’ve even come up with some alternative titles. Check it out.

AXI EXEC	Okay, we’re going real retro kitschy.

SARA	I’m sorry. That’s...

AXI EXEC	Oh, she took it. She took the phone call. Hello?

KELLY	Regarding other...

SARA	Shad? I’m sorry. I can’t right now.

KELLY	Let’s stay focused here, and blonde to blonde.

SARA	What’s going on?

KELLY	What type of contingencies...

KELLY	are we looking at?

SARA	Okay.

SARA	I have to go. I have to go. I have to go.

KELLY	Where did she go? Is she still behind me?

SARA	My friend’s in trouble. I’m sorry.

AXI EXEC	Excuse me?

KELLY	Do you think she’s coming back?

AXI EXEC	I don’t know.

KELLY	Okay. I don’t...

AXI EXEC	Okay. Oh.

KELLY	Because we are not negotiating right now. 

KELLY	 I will call you when she is ready. Okay. 

SARA	hank you for being here.

KELLY	Of course.

KELLY	Why is everyone so tiny in this office building?

SARA	There he is. 

SARA	Hey, Shad.

SHAD	Thanks for coming.

SHAD	You know, shit’s just getting way over my head. 

SHAD	Who’s she?

SARA	Oh, that’s my friend, Kelly.

ROBERT	So I’m afraid we’re in kind of a bind here.

SARA	So what’s the issue?

ROBERT	Some parents noticed some odd things about Godfrey.

ROBERT	Many of them are wondering if he might be schizophrenic. 

KELLY	He’s not schizophrenic, and I will tell you why.

KELLY	One, he does not suffer from visual hallucinations. 

KELLY	Two, he does not suffer from auditory hallucinations...

KELLY	and three, he does not exhibit signs of delusional behavior...

KELLY	so there’s that.

SHAD	Is she a doctor?

SARA	She repped Dr. Phil.

ROBERT	Look, what do I tell a concerned parent... 

ROBERT	who said that she saw him performing as a cowboy on the street...

ROBERT	and then less than an hour later, dressed as a matador? 

SARA	What, he can’t perform now?

ROBERT	If a person is found mentally unstable, obviously...

ROBERT	they’re not going to be allowed to work...

ROBERT	with any children in Washington State.

SARA	No, no. Godfrey is not mentally unstable.

SARA	Okay? He is a man experiencing grief.

SARA	He doesn’t need a psych evaluation.

SARA	He needs support, and time to process what he’s going through.

ROBERT	Look, I appreciate everything that has been said here today.

ROBERT	But if Godfrey doesn’t grade out with his evaluations next week...

ROBERT	he’s done here.

SARA	Hi, my name is Cowgirl Cassie. 

SARA	Now I’m not really a performer, but today...

SARA	I decided to sing some songs for y’all...

SARA	and a friend I'm hoping to see.

SARA SINGING	You can tell the world 

SARA SINGING	I never was your girl 

SARA SINGING	You can burn my clothes up when I'm gone 

SARA SINGING	You can tell your friends 

SARA SINGING	Just what a fool I've been

SARA SINGING	And laugh and joke about me on the phone

SARA SINGING	But don't tell my heart

SARA SINGING	my achy breaky heart 

SARA SINGING	I just don't think she'd understand 

SARA SINGING	And if you tell my heart

SARA SINGING	my achy breaky heart 

SARA SINGING	She might blow up and kill her man

SARA SINGING	You can tell your ma

SARA SINGING	I moved to Arkansas 

SARA SINGING	You can tell your dog to bite my leg

SARA SINGING	Or tell your brother Cliff 

SARA SINGING	he can read my lips

SARA SINGING	He never really liked me anyway 

SARA	Hey there, young man.

SARA	Why don't you come on up here and join me on the stage?

SARA	Help me sing this song. Come on now. Don’t be shy!

SARA	Come on up here. I see you. Come on.

SARA	Get on up here.

SARA	Where you belong.

SARA SINGING	Or tell your Aunt Louise 

SARA SINGING	Tell anything you please 

SARA SINGING	Myself already knows I'm not okay

SARA SINGING	Or you can tell my eyes 

SARA SINGING	to watch out for my mind

SARA SINGING	It might be walking out on me today

SARA AND GODFREY SINGING	But don't tell my heart

SARA AND GODFREY SINGING	My achy breaky heart

SARA AND GODFREY SINGING	I just don't think he'd understand

SARA AND GODFREY SINGING	And if you tell my heart 

SARA AND GODFREY SINGING	my achy breaky heart 

SARA AND GODFREY SINGING	He might blow up and kill this man 

SARA AND GODFREY SINGING	Don't tell my heart

SARA AND GODFREY SINGING	my achy breaky heart

SARA AND GODFREY SINGING	I just don't think he'd understand 

SARA AND GODFREY SINGING	And if you tell my heart 

SARA AND GODFREY SINGING	My achy breaky heart 

SARA AND GODFREY SINGING	He might blow up and kill this man 

SARA AND GODFREY SINGING	Don't tell my heart

SARA AND GODFREY SINGING	my achy breaky heart

SARA AND GODFREY SINGING	I just don't think he'd understand

SARA AND GODFREY SINGING	And if you tell my heart

SARA AND GODFREY SINGING	my achy breaky heart

SARA AND GODFREY SINGING	He might blow up and kill this man

SARA	Whoo, whoo, whoo!

SARA	Cowboy Cody, everybody. Give him a round of applause.

MAN IN	Yeehaw! 

SARA	Thank you.

SARA	Well, you got a smile on your face.

SARA	That's a good thing.

GODFREY	You think so?

SARA	Hell, I know so. 

SARA	So, we friends again?

GODFREY	Pretty good for someone who doesn't perform there, young lady. 

GODFREY	Maybe we should make a duo.

SARA	Yeah, like Faith Hill and Tim McGraw.

SARA	You could be Faith. 

SARA	So if we're going to be a duo, then we're friends now, right?

SARA	Because friends are there for each other. 

SARA	And I want to help you. 

SARA	Like you helped me. 

SARA	And I know I haven't met the real you yet...

SARA	but the truth is, I'm the one that's the phony.

SARA	I wrote books I don't care about. 

SARA	I was in a five-year relationship that I only pretended was great. 

SARA	I've been a phony... 

SARA	to friends, to everyone in my life.

SARA	I'm sorry I wasn't honest with you about the book.

SARA	But I learned so much about you and myself writing it. 

SARA	It changed me.

SARA	Look... 

SARA	you're going to lose your gig at the school...

SARA	if you don't show them the real you...

SARA	they're going to cut you from the program.

SARA	But the school is willing to work with you if you can pull it together.

SARA	They have counselors there to help you through this. 

SARA	And I could help you.

SARA	You just have to be yourself.

SARA	So what do you say?

SARA	Let's start over.

SARA	For real this time.

SARA	Hi. I'm Sara.

SARA	Okay. 

SARA	Well, then I guess that’s goodbye.

GODFREY	Wait, Sarah. Don't leave.

GODFREY	It's me. 

GODFREY	Godfrey.

GODFREY	I know who I really am when I'm with you.

SOUNDTRACK	Oh, once upon a midnight eerie

SOUNDTRACK	I woke with something in my head

SOUNDTRACK	I couldn't escape the memory

SOUNDTRACK	Of a phone call and of what you said

SOUNDTRACK	Like a game show contestant with a parting gift

SOUNDTRACK	I could not believe my eyes

SOUNDTRACK	When I saw through the thoughts of a trusted friend

SOUNDTRACK	Who needs to humor me and tell me lies

SOUNDTRACK	Yeah humor me and tell me lies

SOUNDTRACK	And I'll lie too and say I don't mind

SOUNDTRACK	And as we seek so shall we find

SOUNDTRACK	And when you're feeling open I'll still be here

SOUNDTRACK	But not without a certain degree of fear

SOUNDTRACK	Well, what will be with you and me

SOUNDTRACK	I still can see things hopefully

SOUNDTRACK	But you

SOUNDTRACK	Why you wanna give me a run-around?

SOUNDTRACK	Is it a sure-fire way to speed things up?

SOUNDTRACK	When all it does is slow me down

SOUNDTRACK	Shake me and my confidence

SOUNDTRACK	About a great many things

SOUNDTRACK	But I've been there I can see it cower

SOUNDTRACK	Like a nervous magician waiting in the wings

SOUNDTRACK	Of a bad play where the heroes are right

SOUNDTRACK	And nobody thinks or expects too much

SOUNDTRACK	And Hollywood's calling for the movie rights

SOUNDTRACK	Singing "Hey babe, let's keep in touch"

SOUNDTRACK	Hey baby, let's keep in touch

SOUNDTRACK	But I want more than a touch I want you to reach me

SOUNDTRACK	And show me all the things no one else can see

SOUNDTRACK	So what you feel becomes mine as well

SOUNDTRACK	And soon if we're lucky we'd be unable to tell

SOUNDTRACK	What's yours and mine, the fishing's fine

SOUNDTRACK	And it doesn't have to rhyme, so don't you feed me a line

SOUNDTRACK	But you

SOUNDTRACK	Why you wanna give me a run-around?

SOUNDTRACK	Is it a sure-fire way to speed things up?

SOUNDTRACK	When all it does is slow me down
